Date,Unemployment Rate,Inflation (PCE),Interest Rates,Industrial Production,Consumer Sentiment,S&P500
2014-12-31,5.6,12096.1,0.12,103.6345,93.6,2058.89990234375
2015-01-31,5.7,12066.7,0.11,102.8239,98.1,1994.989990234375
2015-02-28,5.5,12116.6,0.11,102.1513,95.4,2104.5
2015-03-31,5.4,12176.1,0.11,101.824,93.0,2067.889892578125
2015-04-30,5.4,12209.1,0.12,101.244,95.9,2085.510009765625
2015-05-31,5.6,12275.4,0.12,100.783,90.7,2107.389892578125
2015-06-30,5.3,12307.9,0.13,100.4781,96.1,2063.110107421875
2015-07-31,5.2,12364.9,0.13,101.1052,93.1,2103.840087890625
2015-08-31,5.1,12396.2,0.14,100.9442,91.9,1972.1800537109375
2015-09-30,5.0,12386.4,0.14,100.6507,87.2,1920.030029296875
2015-10-31,5.0,12394.9,0.12,100.1871,90.0,2079.360107421875
2015-11-30,5.1,12423.2,0.12,99.4382,91.3,2080.409912109375
2015-12-31,5.0,12452.0,0.24,98.939,92.6,2043.93994140625
2016-01-31,4.8,12478.0,0.34,99.4558,92.0,1940.239990234375
2016-02-29,4.9,12554.5,0.38,98.9136,91.7,1932.22998046875
2016-03-31,5.0,12537.0,0.36,98.1907,91.0,2059.739990234375
2016-04-30,5.1,12611.5,0.37,98.4669,89.0,2065.300048828125
2016-05-31,4.8,12652.7,0.37,98.2518,94.7,2096.949951171875
2016-06-30,4.9,12731.2,0.38,98.7275,93.5,2098.860107421875
2016-07-31,4.8,12756.7,0.39,98.836,90.0,2173.60009765625
2016-08-31,4.9,12788.1,0.4,98.7554,89.8,2170.949951171875
2016-09-30,5.0,12846.6,0.4,98.6596,91.2,2168.27001953125
2016-10-31,4.9,12867.0,0.4,98.7322,87.2,2126.14990234375
2016-11-30,4.7,12893.0,0.41,98.3452,93.8,2198.81005859375
2016-12-31,4.7,13005.9,0.54,99.0314,98.2,2238.830078125
2017-01-31,4.7,13063.7,0.65,98.7987,98.5,2278.8701171875
2017-02-28,4.6,13088.4,0.66,98.4322,96.3,2363.639892578125
2017-03-31,4.4,13139.9,0.79,99.0663,96.9,2362.719970703125
2017-04-30,4.4,13169.2,0.9,100.0082,97.0,2384.199951171875
2017-05-31,4.4,13171.9,0.91,100.1286,97.1,2411.800048828125
2017-06-30,4.3,13225.2,1.04,100.3233,95.0,2423.409912109375
2017-07-31,4.3,13263.3,1.15,100.0947,93.4,2470.300048828125
2017-08-31,4.4,13294.6,1.16,99.6642,96.8,2471.64990234375
2017-09-30,4.3,13417.3,1.15,99.7686,95.1,2519.360107421875
2017-10-31,4.2,13447.5,1.15,100.9981,100.7,2575.260009765625
2017-11-30,4.2,13540.6,1.16,101.2597,98.5,2647.580078125
2017-12-31,4.1,13666.1,1.3,101.4573,95.9,2673.610107421875
2018-01-31,4.0,13703.3,1.41,101.3939,95.7,2823.81005859375
2018-02-28,4.1,13738.7,1.42,101.7656,99.7,2713.830078125
2018-03-31,4.0,13793.2,1.51,102.2441,101.4,2640.8701171875
2018-04-30,4.0,13838.4,1.69,103.3468,98.8,2648.050048828125
2018-05-31,3.8,13905.0,1.7,102.3911,98.0,2705.27001953125
2018-06-30,4.0,13930.4,1.82,103.1924,98.2,2718.3701171875
2018-07-31,3.8,13974.8,1.91,103.3334,97.9,2816.2900390625
2018-08-31,3.8,14014.0,1.91,104.0807,96.2,2901.52001953125
2018-09-30,3.7,14017.8,1.95,104.1181,100.1,2913.97998046875
2018-10-31,3.8,14083.1,2.19,103.9397,98.6,2711.739990234375
2018-11-30,3.8,14162.9,2.2,104.0007,97.5,2760.169921875
2018-12-31,3.9,14051.6,2.27,103.9946,98.3,2506.85009765625
2019-01-31,4.0,14088.4,2.4,103.373,91.2,2704.10009765625
2019-02-28,3.8,14115.5,2.4,102.8292,93.8,2784.489990234375
2019-03-31,3.8,14240.1,2.41,102.8286,98.4,2834.39990234375
2019-04-30,3.7,14278.3,2.42,102.2481,97.2,2945.830078125
2019-05-31,3.6,14340.8,2.39,102.4192,100.0,2752.06005859375
2019-06-30,3.6,14391.2,2.38,102.4893,98.2,2941.760009765625
2019-07-31,3.7,14471.8,2.4,102.0236,98.4,2980.3798828125
2019-08-31,3.6,14525.7,2.13,102.7754,89.8,2926.4599609375
2019-09-30,3.5,14555.6,2.04,102.5315,93.2,2976.739990234375
2019-10-31,3.6,14584.0,1.83,101.6022,95.5,3037.56005859375
2019-11-30,3.6,14678.6,1.55,102.148,96.8,3140.97998046875
2019-12-31,3.6,14741.3,1.55,101.884,99.3,3230.780029296875
2020-01-31,3.6,14815.7,1.55,101.3768,99.8,3225.52001953125
2020-02-29,3.5,14810.7,1.58,101.633,101.0,2954.219970703125
2020-03-31,4.4,13793.0,0.65,97.6672,89.1,2584.590087890625
2020-04-30,14.8,12228.3,0.05,84.5979,71.8,2912.429931640625
2020-05-31,13.2,13251.4,0.05,85.9732,72.3,3044.31005859375
2020-06-30,11.0,14027.1,0.08,91.5625,78.1,3100.2900390625
2020-07-31,10.2,14285.1,0.09,95.0144,72.5,3271.1201171875
2020-08-31,8.4,14428.4,0.1,95.8881,74.1,3500.31005859375
2020-09-30,7.8,14655.0,0.09,95.8444,80.4,3363.0
2020-10-31,6.8,14702.5,0.09,96.4292,81.8,3269.9599609375
2020-11-30,6.7,14675.8,0.09,96.8564,76.9,3621.6298828125
